kv_cache_dtype,dataset,dataset_index,example_id,reported_length,length_bucket,prompt_tokens,output_tokens,generation_time_seconds,output_tokens_per_second,total_tokens_per_second,finish_reason
int8_per_token_head,qasper_e,32,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,3307,4K-8K,4449,72,4.034079,17.8479,1120.7018,stop
int8_per_token_head,qasper_e,33,54797939fdd2089aeb0c4242e660b2ff1914538839e9a21e,2424,2K-4K,3621,37,2.330103,15.8791,1569.8875,stop
int8_per_token_head,qasper_e,34,e2a3009e3e15b0e45552a4ab0c593e027e64acf190b2903b,3302,4K-8K,4636,31,2.711443,11.433,1721.224,stop
int8_per_token_head,qasper_e,35,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,3158,4K-8K,4243,3,1.486285,2.0185,2856.7879,stop
int8_per_token_head,qasper_e,36,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,3570,4K-8K,4919,55,3.759542,14.6294,1323.0336,stop
int8_per_token_head,qasper_e,37,a533586fadb3dbf78a61381a0f040d993ae1d5cd3e66b98d,3820,4K-8K,5025,12,2.380221,5.0415,2116.1904,stop
int8_per_token_head,qasper_e,38,861cbf67995653276e955ddb68584eb35263f970a710c86c,3722,4K-8K,5137,42,3.482066,12.0618,1487.3353,stop
int8_per_token_head,qasper_e,39,ca6ab28a7624b35d6e14bdd51a24f6cba93df17b033a0945,1561,0-2K,2034,48,1.991267,24.1053,1045.5655,stop
int8_per_token_head,qasper_e,40,689421214f9b71be11d80ef9ae68b49974a8bd7e4313cd58,2091,2K-4K,2916,24,1.499877,16.0013,1960.1611,stop
int8_per_token_head,qasper_e,41,57825167e9b5b23b2f03e2675d9c7e96814b6785975b5dff,3405,4K-8K,5323,29,3.179933,9.1197,1683.0546,stop
int8_per_token_head,qasper_e,42,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,2009,2K-4K,3229,72,3.30254,21.8014,999.5337,stop
int8_per_token_head,qasper_e,43,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,1899,2K-4K,2697,15,1.131298,13.2591,2397.2466,stop
int8_per_token_head,qasper_e,44,b1e77f6928aff3baafd48d7674dc39bd72293dce6956dbde,2150,2K-4K,3016,41,2.125045,19.2937,1438.5578,stop
int8_per_token_head,qasper_e,45,c0f67594ed1d5ba890abd05585f849a4bdde9f30e9054ea8,2895,2K-4K,4088,17,1.896284,8.9649,2164.7596,stop
int8_per_token_head,qasper_e,46,3e0ebe8cd7c6ad2ed6b011e47c1a06464ae4eed1b47c9d37,2361,2K-4K,3308,21,1.600943,13.1173,2079.3991,stop
int8_per_token_head,qasper_e,47,76ade8dc03f520d725ee2b1decb2904f80becbc3dd6fb9b5,1701,2K-4K,2295,23,1.219502,18.8602,1900.7754,stop
int8_per_token_head,qasper_e,48,987ab3762f78d7c33799631fec402ae2ed66ecbb0708347b,1913,2K-4K,2639,23,1.346593,17.0801,1976.8412,stop
int8_per_token_head,qasper_e,49,f1d8b6d074397f7bead6a59be4c66dc5f1f1a058f74f1402,3794,4K-8K,5122,17,2.591067,6.561,1983.3531,stop
int8_per_token_head,qasper_e,50,fa1c557ea338532fb1c34125934ce83b2b70e02dd12931d3,3757,4K-8K,5627,12,2.826187,4.246,1995.2676,stop
int8_per_token_head,qasper_e,51,d95b33cbe3496fb98638b3c3b1a956847b6472aa8d18a5cc,2393,2K-4K,3341,22,1.642125,13.3973,2047.9565,stop
int8_per_token_head,qasper_e,52,704c0c46089ffbd8f6c94c06071a440d930d82a59a1d4edc,2958,2K-4K,4049,72,3.758184,19.1582,1096.5403,stop
int8_per_token_head,qasper_e,53,c32bcab75bbb243cbd0fa7d6cea385a9aa1220c9fb455f09,2220,2K-4K,3430,26,1.897852,13.6997,1821.0064,stop
int8_per_token_head,qasper_e,54,b959a2ca0687fbe1c4f11a6fda00eb9341525f1502c9afc6,3566,4K-8K,5664,35,3.656307,9.5725,1558.6763,stop
int8_per_token_head,qasper_e,55,83246d680e84d965de12202eeca2955546e9261630d543c5,1671,2K-4K,2258,49,2.100789,23.3246,1098.1586,stop
int8_per_token_head,qasper_e,56,181a2d144f719517ed2033408c263c328c3c7eb9cddc78c6,2289,2K-4K,3070,8,1.02146,7.8319,3013.3349,stop
int8_per_token_head,qasper_e,57,006bf0292d7a46cfbe4bc50f63e92d34411ea060f5b547ec,3817,4K-8K,4727,28,2.703171,10.3582,1759.0455,stop
int8_per_token_head,qasper_e,58,35be0474e7f491742c4f764a3ed5fc174465bf0ba26ebff0,3855,4K-8K,5306,15,2.669147,5.6198,1993.5204,stop
int8_per_token_head,qasper_e,59,128f8753d02c6777ce3244345d4799613c188be0b6b66b7a,2667,2K-4K,3613,11,1.399282,7.8612,2589.8992,stop
int8_per_token_head,qasper_e,60,c3694e336a5431082844e851d3bf6ca4b1d21ce87665281e,2649,2K-4K,3973,11,1.602825,6.8629,2485.6107,stop
int8_per_token_head,qasper_e,61,1443430475309d05eb23043251943ee0b3c3ade6f0730fdc,2083,2K-4K,3228,28,1.816627,15.4132,1792.3323,stop
int8_per_token_head,qasper_e,62,0b04d1a3009c6f4f4502defd297b37bb756f8e5e904d2449,1651,2K-4K,2210,51,2.157475,23.6387,1047.9843,stop
int8_per_token_head,qasper_e,63,78ec8052a16e28c7c9da9d61bfd7b70c05ada0efa5169524,1898,2K-4K,2693,22,1.339398,16.4253,2027.0302,stop
int8_per_token_head,qasper_e,64,3eb54f9ba615e042408b8ddafcbd4d41db0f1e72c8eedca8,2133,2K-4K,2733,16,1.152148,13.8871,2385.9786,stop
int8_per_token_head,qasper_e,65,ba4d8e9921bcc53ce93a458307141bc528d92addb66cbc95,3974,4K-8K,5429,20,2.944534,6.7922,1850.5472,stop
int8_per_token_head,qasper_e,66,1ef257d8f567afd7d7057d678d14d28941a912b4df8b5775,2361,2K-4K,3391,32,2.028406,15.7759,1687.5323,stop
int8_per_token_head,qasper_e,67,5a66bf2184751add62aab933cf9076dc61faf39f716d2e72,1912,2K-4K,2691,23,1.377003,16.7029,1970.9475,stop
int8_per_token_head,qasper_e,68,59589a5aa08f01c9772844cd16cf3a57aaf9567123ba2154,2164,2K-4K,2735,17,1.191241,14.2708,2310.1954,stop
int8_per_token_head,qasper_e,69,31a683b8dfd8036c61d738d6bd75c5c6d7e627ba61634b20,2473,2K-4K,3502,23,1.764902,13.0319,1997.2782,stop
int8_per_token_head,qasper_e,70,33c06a5e9eb93d7a970d8e42e3ab04467182eef7113c5c5f,3846,4K-8K,5302,17,2.773484,6.1295,1917.8045,stop
int8_per_token_head,qasper_e,71,69e126e9192d0ccc3669d9214ad94883c63d5cc1609e85b4,3471,4K-8K,4709,48,3.384425,14.1826,1405.5563,stop
int8_per_token_head,qasper_e,72,a62a087ff34f25cc4f76205a1431eb4c2254d4ad01c630d4,2759,4K-8K,4150,38,2.650424,14.3373,1580.1244,stop
int8_per_token_head,qasper_e,73,741e32f2f93410bcffc12553b94d72b680db834ee5a45669,3367,4K-8K,5238,15,2.649371,5.6617,1982.7345,stop
int8_per_token_head,qasper_e,74,7dbc40699fa6742050f798cfeea408507ca4b90811be532d,2823,2K-4K,3887,15,1.704357,8.801,2289.4265,stop
int8_per_token_head,qasper_e,75,b1fdb80cd96f455762f4f3be78a4932e7ae5edb2802d9e5c,3244,4K-8K,4341,9,1.774669,5.0714,2451.1614,stop
int8_per_token_head,qasper_e,76,9559dbefad997c0a896d9cae62aeeb1703add67a670930fb,3634,4K-8K,4693,24,2.535597,9.4652,1860.3117,stop
int8_per_token_head,qasper_e,77,3ead7355dc4b6356c66ae3a8cffe00652a7d35a899dcb316,1939,2K-4K,2823,22,1.398547,15.7306,2034.2534,stop
int8_per_token_head,qasper_e,78,5c576f06ce64e385da68b3465a0e077c81651dfbc19c72a4,1877,2K-4K,2633,18,1.209967,14.8764,2190.968,stop
int8_per_token_head,qasper_e,79,5fa58c27137b7ed6888f0d3c5b3450aee78a7d479d98672c,2327,2K-4K,3367,14,1.389942,10.0724,2432.476,stop
int8_per_token_head,qasper_e,80,40490daeb7eba9f934f4613aac7ec5d957d1482bce802c8a,3313,4K-8K,4433,47,3.148845,14.9261,1422.7441,stop
int8_per_token_head,qasper_e,81,973f0a7a906c8f84200007bfe0c611f041fe389c316707b7,3841,4K-8K,5520,20,3.038642,6.5819,1823.1826,stop
int8_per_token_head,qasper_e,82,fb7bbe83a369588ad73dd99826afd3c20d38769f5b0c2a31,2754,2K-4K,3879,17,1.767478,9.6182,2204.2706,stop
int8_per_token_head,qasper_e,83,37c0ca334bad96a1cf17879108e112591f7088f3794b6533,3160,4K-8K,4245,15,1.91985,7.8131,2218.923,stop
int8_per_token_head,qasper_e,84,f183167177d0ddfc059aff91b6bd78bd5e9861b998261a2d,1868,2K-4K,2635,14,1.044104,13.4086,2537.1045,stop
int8_per_token_head,qasper_e,85,a3a74b9eba905def46e1b99988f18ad74a451de8a53b1b15,3862,4K-8K,5639,23,3.234641,7.1105,1750.426,stop
int8_per_token_head,qasper_e,86,214680ec183fe8bec3a65633d71c3690f5c3b35e5e8e41a6,3861,4K-8K,5638,26,3.34387,7.7754,1693.8457,stop
int8_per_token_head,qasper_e,87,7b4d3a64f9dd6e23da5f1530bd92ced5c5adf84ce3c1e2ee,3305,4K-8K,4447,6,1.740853,3.4466,2557.9414,stop
int8_per_token_head,qasper_e,88,cd873a30eb42011afd9007db9d38aad584c2734f48330dce,2060,2K-4K,2942,30,1.724773,17.3936,1723.1257,stop
int8_per_token_head,qasper_e,89,088e3b32e2812d8fcca9f4fad976de94317893b5cb210f4a,1906,2K-4K,2533,12,0.933271,12.858,2726.9684,stop
int8_per_token_head,qasper_e,90,ecdc1201351d1467d8b55b82ce8e54846f36e141284db44e,1443,0-2K,1971,32,1.450179,22.0662,1381.2089,stop
int8_per_token_head,qasper_e,91,e2b21e6c72b2a258c8d8dd7b7f94ee08b4a1edd012ccce04,1541,2K-4K,2466,49,2.187454,22.4005,1149.7386,stop
int8_per_token_head,qasper_e,92,b89bb41df843f9c8c292df5290d3e62e2ac62171991d5fbf,1908,2K-4K,2646,46,2.144695,21.4483,1255.19,stop
int8_per_token_head,qasper_e,93,a7281359720bac697e8f2d18c8d460b238d46b17205a5f4a,3704,4K-8K,4669,39,3.043663,12.8135,1546.8205,stop
int8_per_token_head,qasper_e,94,56600b6a10fb297db2b0c15a21c2d49f7a0a90f927387e3b,1639,2K-4K,2225,39,1.807661,21.5748,1252.4472,stop
int8_per_token_head,qasper_e,95,ab031ab8495d8200afcf794d5368ed54353ec254b176d190,2435,2K-4K,3343,22,1.65013,13.3323,2039.2329,stop
int8_per_token_head,qasper_e,96,aefe71d17866995c454d51362893d2fb48de1a3d55d3cdb0,1514,2K-4K,2470,51,2.264292,22.5236,1113.3722,stop
int8_per_token_head,qasper_e,97,48fc8f0bab4c2e63d0703b11d8902a4082d9d77eb8ef611c,2156,2K-4K,3014,81,3.523106,22.9911,878.4863,stop
int8_per_token_head,qasper_e,98,e88c5e44dbf7203c800c503bdfddb020c564fc323deff33c,3040,4K-8K,4220,49,3.13484,15.6308,1361.7919,stop
int8_per_token_head,qasper_e,99,d9c7574b1ed1ebd6eb755e6bbeee3513c9c912771059348c,2533,2K-4K,3635,76,3.662012,20.7536,1013.3774,stop
int8_per_token_head,qasper_e,100,752f0351806ae2e7a2a5f72c666c247706a8e8d059907f4d,4210,4K-8K,5925,95,6.008439,15.8111,1001.9241,stop
int8_per_token_head,qasper_e,101,b88143528621f772f4673e1d5249faa750e66bd3d25dc48a,4820,4K-8K,6364,12,3.522307,3.4069,1810.1774,stop
int8_per_token_head,qasper_e,102,536136d642ecfb95aa51b8057018d9e41fbc39100f4ae120,4460,4K-8K,5890,25,3.526562,7.0891,1677.271,stop
int8_per_token_head,qasper_e,103,9b239d896d4e14a1119ff7a96adf888b3ee3672b9890917d,4106,4K-8K,5500,15,2.844906,5.2726,1938.5528,stop
int8_per_token_head,qasper_e,104,db44156fb95ba706642d8db8b12cc990e19840d25966d5b4,4719,4K-8K,7095,22,4.576954,4.8067,1554.9643,stop
int8_per_token_head,qasper_e,105,585cb871b289390d1702cbbe783eaf7874fe78b61efc8667,6182,4K-8K,8110,19,5.627153,3.3765,1444.6027,stop
int8_per_token_head,qasper_e,106,9b74d12df29676d618b03e2da39919e522a4bcdf638e7977,4173,4K-8K,5650,30,3.489453,8.5973,1627.7621,stop
int8_per_token_head,qasper_e,107,2df2169344b32d1abc45360c4fa3529689a25d9aed1f1de9,4465,4K-8K,5771,3,2.663021,1.1265,2168.2145,stop
int8_per_token_head,qasper_e,108,b920b0a031389d0ba6a69af9b9460755870ba0b2bbb30f8b,4856,4K-8K,6651,16,3.955491,4.045,1685.5051,stop
int8_per_token_head,qasper_e,109,210d7e49f1b17fdad67a9a09194869f85065ed34e59062b8,4924,4K-8K,6960,15,4.202629,3.5692,1659.6754,stop
int8_per_token_head,qasper_e,110,ce0c9192b838497901c0360f9f775aaaa8711369f3ef9ed2,4581,4K-8K,6267,22,3.794306,5.7982,1657.4838,stop
int8_per_token_head,qasper_e,111,976994364dbcccb985af23bc0cedfb408add4985203d5b46,4111,4K-8K,5720,31,3.594363,8.6246,1600.0055,stop
int8_per_token_head,qasper_e,112,fbc4a45ff813e0a9578becabc2079b8da6de5193d5827cd9,4704,4K-8K,7030,48,5.469304,8.7763,1294.1317,stop
int8_per_token_head,qasper_e,113,14a3bbb82b8513481e056adb121e5b37e648bb44e97406f2,6244,4K-8K,8107,73,7.516909,9.7114,1088.2133,stop
int8_per_token_head,qasper_e,114,e28df0e3283943b1e011e1dba7a231e35269588b73697ca4,7837,8K-16K,10262,3,8.051343,0.3726,1274.9426,stop
int8_per_token_head,qasper_e,115,2b7593f9c20a839d48e19625c062529532fbfd9c2f830f88,4404,4K-8K,6540,46,4.864365,9.4565,1353.928,stop
int8_per_token_head,qasper_e,116,497b1525e2ccae21bc01a98ef3512d180ab07546589dd537,4902,4K-8K,7846,45,6.221816,7.2326,1268.2793,stop
int8_per_token_head,qasper_e,117,5b13aa35815812df257039222ea69b902de31f1e73911905,5331,4K-8K,7017,74,6.346652,11.6597,1117.282,stop
int8_per_token_head,qasper_e,118,3986e832a691446dc11b553c3837efbcd0070a267903c179,4160,4K-8K,5322,16,2.753853,5.81,1938.3753,stop
int8_per_token_head,qasper_e,119,a79763fea9f012a21af72c264b6853ad325dc087408fdb56,4369,4K-8K,5784,7,2.809654,2.4914,2061.1077,stop
int8_per_token_head,qasper_e,120,10f5ce4c9054e6a2508cc67328ca303d3b5ee57bae2b7fd9,4779,4K-8K,6609,28,4.313736,6.4909,1538.5736,stop
int8_per_token_head,qasper_e,121,34876cd63f0e18aebfa721150cc5e3e83c4d46aad5327a28,4109,4K-8K,5499,31,3.400377,9.1166,1626.2903,stop
int8_per_token_head,qasper_e,122,9dbbc977fdb65fff35043a30467540bb81fe4f6767dc01fe,4572,4K-8K,6358,69,5.524646,12.4895,1163.3324,stop
int8_per_token_head,qasper_e,123,7e86fb429fcfec3ed6f1303b6002a68d23851bf87d981bc6,4091,4K-8K,6375,37,4.393942,8.4207,1459.282,stop
int8_per_token_head,qasper_e,124,5650ed820eb82845ddc5e1ed504aa97c22e61f4f2b4467c4,5344,4K-8K,7012,28,4.704886,5.9513,1496.3167,stop
int8_per_token_head,qasper_e,125,d3af022e32bc31e242abe8c024bc1627a0a17ee4c938297d,4217,4K-8K,5730,16,3.074272,5.2045,1869.0606,stop
int8_per_token_head,qasper_e,126,74989bf74a29b3b9acd22779ad89ced50999f6563e328b7a,4542,4K-8K,6575,38,4.625544,8.2153,1429.6698,stop
int8_per_token_head,qasper_e,127,04d9e82efc74cd3ef2b635904c05a5f0b2c34ac5a4318304,4906,4K-8K,6658,106,7.108696,14.9113,951.5106,stop
int8_per_token_head,qasper_e,128,8f319fe001c7a7d8bde3d32f8abc1d1b460eb04b6022fed7,4600,4K-8K,6510,22,4.009996,5.4863,1628.9293,stop
int8_per_token_head,qasper_e,129,5a2909819e072daa4a8675b39a5df24034e7c6a22709d035,4527,4K-8K,6760,22,4.279379,5.1409,1584.8094,stop
int8_per_token_head,qasper_e,130,77d5b65213c33d96b4c145e035798509a2d46c7d01756f8d,4841,4K-8K,6973,28,4.675379,5.9888,1497.4187,stop
int8_per_token_head,qasper_e,131,586bbad29218deb4380c476e5c3dbe4e127206138d9b5284,6810,8K-16K,9738,12,7.565397,1.5862,1288.7625,stop
int8_per_token_head,qasper_e,132,f67ea370aeb4a333c57d3c78eec165f57815ead93bed9112,4771,4K-8K,6286,31,4.108125,7.546,1537.6843,stop
int8_per_token_head,qasper_e,133,67e9599e8ede0b568d2521adb1f395e7b74d8eeec5c1e0b8,4253,4K-8K,5850,36,3.887554,9.2603,1514.0625,stop
int8_per_token_head,qasper_e,134,d70f861b0ae1a38fa3562f6e2da8ec23b8d20780747dd0a6,4855,4K-8K,6624,27,4.286953,6.2982,1551.4516,stop
int8_per_token_head,qasper_e,135,101ede1900aed69c4ea0a31920aed89c64b5c92cc44b6247,4880,4K-8K,6971,77,6.392721,12.045,1102.504,stop
int8_per_token_head,qasper_e,136,ef9f46e9b2671cb00a9ead0fec51bdd8ac923e6f524b9ebb,6396,8K-16K,9229,5,6.658786,0.7509,1386.7393,stop
int8_per_token_head,qasper_e,137,476f28c6b78e34a796d45e194120504620bbbf42278dfab7,4090,4K-8K,5720,31,3.581281,8.6561,1605.8498,stop
int8_per_token_head,qasper_e,138,9ae2ec3c2e3465020bb7ec7ab78d5e592d9ab2e3cfa66b01,4240,4K-8K,5845,25,3.485858,7.1718,1683.947,stop
int8_per_token_head,qasper_e,139,14407f1d7c9c6c4a173a5aae06de2a46a24257ba6e98bf2b,4576,4K-8K,6268,29,4.02226,7.2099,1565.5378,stop
int8_per_token_head,qasper_e,140,755daa298cdf770c8ed19ddf39270f07e077d88a82aaa0dc,4263,4K-8K,5699,30,3.546189,8.4598,1615.5372,stop
int8_per_token_head,qasper_e,141,ddc6bc30de561312913bb1868a4613a33d0a09adefbd8de6,4286,4K-8K,5575,21,3.120875,6.7289,1793.0866,stop
int8_per_token_head,qasper_e,142,c18d9ff7185dc4fb286c4bc9d4e26aa1d2cae4c3bd2ab473,4073,4K-8K,5541,10,2.705986,3.6955,2051.3776,stop
int8_per_token_head,qasper_e,143,44a094746f7f8f2b2d019500cc03e680dd5d17620691e914,4133,4K-8K,5710,14,2.987869,4.6856,1915.7468,stop
int8_per_token_head,qasper_e,144,0225501ce54ac2c95a557a5691a4322482af24748391e6e9,4104,4K-8K,6368,28,4.055327,6.9045,1577.1846,stop
int8_per_token_head,qasper_e,145,34c5eb16ccc55869a263dfda28d028267e29ee243880c9d5,5136,4K-8K,7260,59,6.039832,9.7685,1211.7887,stop
int8_per_token_head,qasper_e,146,3e719fb0a9e76f230ee502c8b24d52a04faa8303520e9f8e,5147,4K-8K,7862,13,5.139459,2.5294,1532.2624,stop
int8_per_token_head,qasper_e,147,01a9ec56805c938ec7ad3cc00bd2d02b8347194fd7e6a0a4,4489,4K-8K,6699,59,5.467713,10.7906,1235.983,stop
int8_per_token_head,qasper_e,148,d890086b7ad0f59eb69b6db92bf23051d1e5abd7785121a7,4119,4K-8K,5732,61,4.651294,13.1146,1245.46,stop
int8_per_token_head,qasper_e,149,bc4291d5c3ffe8c5dd06af624c081795619716987d468790,4524,4K-8K,6762,17,4.104257,4.142,1651.6998,stop
int8_per_token_head,qasper_e,150,576436df7e468f5fea9088bd91683211b1e2d0867d82c545,4579,4K-8K,6360,21,3.807385,5.5156,1675.9533,stop
int8_per_token_head,qasper_e,151,a93ecd0835d11bbbc58f2a33b6d51de3909be76c33133f5b,4599,4K-8K,6105,45,4.420603,10.1796,1391.2128,stop
int8_per_token_head,qasper_e,152,cb946dbdf9ffc22ebecce124f301530e4d5b721497ef6d5e,4287,4K-8K,5792,30,3.617444,8.2931,1609.4238,stop
int8_per_token_head,qasper_e,153,81e57b1fed504d174d593b8f0864a5e25b29785563a5f54b,4521,4K-8K,6758,3,3.58392,0.8371,1886.4818,stop
int8_per_token_head,qasper_e,154,bc7eab44a275ee5ece6a7875437bf83c9705081ff0f05c08,4322,4K-8K,6403,57,5.136798,11.0964,1257.5927,stop
int8_per_token_head,qasper_e,155,036805beea8a6e2cb953c1f2ca9559ea4dba4a824a37b4b5,4127,4K-8K,5721,21,3.250383,6.4608,1766.561,stop
int8_per_token_head,qasper_e,156,dccaa27ae0be7f8009022b212d3ccc2d00a13e99c687dad8,4055,4K-8K,5399,29,3.265122,8.8817,1662.4186,stop
int8_per_token_head,qasper_e,157,3dd4efe4ba810c79311129e5d05cdb01a69522f464c7813d,6817,8K-16K,9738,22,7.926048,2.7757,1231.3828,stop
int8_per_token_head,qasper_e,158,d9a7e58e9aab49320c85391f5c17e5de89cfc1f573c28998,6810,8K-16K,9739,18,7.788428,2.3111,1252.7561,stop
int8_per_token_head,qasper_e,159,d5e92fcef6747ba1518ae7d8a46ad274b585425b2c889d5b,4738,4K-8K,5995,39,4.105733,9.4989,1469.6525,stop
int8_per_token_head,qasper_e,160,978f7c19ea6c745ddb18300a6dc9c451661e357fca3add52,4177,4K-8K,5323,17,2.775636,6.1247,1923.8834,stop
int8_per_token_head,qasper_e,161,d7906e115d8431133b71ebc7153d10a816d90301d0def756,4481,4K-8K,6696,20,4.108546,4.8679,1634.6417,stop
int8_per_token_head,qasper_e,162,c8597801a4a3bf1497b07619054e5f24fd395eb210d113fa,7257,8K-16K,10213,8,8.161724,0.9802,1252.309,stop
int8_per_token_head,qasper_e,163,dcadecc0543ae52be074ae5faf2f33c684278cef100a96b2,4746,4K-8K,7003,13,4.206235,3.0907,1668.0001,stop
int8_per_token_head,qasper_e,164,98bd8cd56213ae44d7e70986840d791976f3a7d6bf333465,4323,4K-8K,5865,29,3.709629,7.8175,1588.8381,stop
int8_per_token_head,qasper_e,165,a4fb3e0fa052620263db39d9a236e26a4d7217452498793c,4475,4K-8K,6696,17,4.040636,4.2073,1661.372,stop
int8_per_token_head,qasper_e,166,ca9328754a1ec513ba1e0f95d799d2c51edccde929004afc,4104,4K-8K,5503,44,3.904324,11.2696,1420.7325,stop
int8_per_token_head,qasper_e,167,1d74cf15feae9302442102605c3838418f99b746b992ae00,4536,4K-8K,5816,33,3.772331,8.7479,1550.5004,stop
